t,gamma,corr,tsource,series,cfg
0,G5_G5,(2.8234688891032995+0j),0,a,20
1,G5_G5,(2.106261328411608+0j),0,a,20
2,G5_G5,(1.0323904116511802+0j),0,a,20
3,G5_G5,(2.2532037301581314+0j),0,a,20
0,G5_G5,(2.9050188462549724+0j),1,a,20
1,G5_G5,(2.801450661138827+0j),1,a,20
2,G5_G5,(1.446478392674602+0j),1,a,20
3,G5_G5,(2.756705641093887+0j),1,a,20
0,G5_G5,(2.7308082146185413+0j),2,a,20
1,G5_G5,(2.4226408051653645+0j),2,a,20
2,G5_G5,(1.2220545254380535+0j),2,a,20
3,G5_G5,(2.3289399458197337+0j),2,a,20
0,G5_G5,(2.338317154100995+0j),3,a,20
1,G5_G5,(2.667344627536335+0j),3,a,20
2,G5_G5,(1.3863700422994394+0j),3,a,20
3,G5_G5,(2.51146834641032+0j),3,a,20
