t,gamma,corr,tsource,series,cfg
0,GX_GX,(0.49267990496867775+0.0038897915809272283j),0,a,20
1,GX_GX,(0.9448582879587546-0.053685794394072325j),0,a,20
2,GX_GX,(0.011036292304501948-5.535921042555507e-05j),0,a,20
3,GX_GX,(1.1699589156600296+0.24286217850502878j),0,a,20
0,GY_GY,(0.44741409118455217-0.002122437938120808j),0,a,20
1,GY_GY,(1.2475422981419346-0.04822909257752046j),0,a,20
2,GY_GY,(0.07780881395875006-0.0028673917346611726j),0,a,20
3,GY_GY,(1.1784678503575898+0.04010794239845929j),0,a,20
0,GZ_GZ,(0.33908588369862425+0.034367053680995865j),0,a,20
1,GZ_GZ,(1.0487374255796922-0.16094095046686738j),0,a,20
2,GZ_GZ,(0.10600465439251706+0.047284372904311846j),0,a,20
3,GZ_GZ,(1.0696613452977513+0.11063795829227158j),0,a,20
0,GX_GX,(0.7032216050008673-0.07340491033722132j),1,a,20
1,GX_GX,(1.2796941295853208+0.07958459482770436j),1,a,20
2,GX_GX,(-0.0038629910944427658-0.0341770519379172j),1,a,20
3,GX_GX,(1.0767459001227329-0.02370708500197716j),1,a,20
0,GY_GY,(0.6436653948757125+0.008967464680435869j),1,a,20
1,GY_GY,(1.6537856836266314-0.12001206120239404j),1,a,20
2,GY_GY,(0.1306226942715704-0.001212190522359366j),1,a,20
3,GY_GY,(1.66347569563407+0.07178477541342675j),1,a,20
0,GZ_GZ,(0.35076687224116565+0.15430482140510837j),1,a,20
1,GZ_GZ,(1.273445550164285+0.0124225731095674j),1,a,20
2,GZ_GZ,(0.3642337815723439+0.09450264938678589j),1,a,20
3,GZ_GZ,(1.1207432575028424-0.07823953314949461j),1,a,20
0,GX_GX,(0.5368716470574858+0.1288720368996209j),2,a,20
1,GX_GX,(1.2004338568566948-0.08213918547386499j),2,a,20
2,GX_GX,(0.07585825097337531-0.022075830959110077j),2,a,20
3,GX_GX,(1.2000617269347358-0.013864707298981933j),2,a,20
0,GY_GY,(0.5022151063537469+0.015104994611850766j),2,a,20
1,GY_GY,(1.3718032524031987-0.05234985122852271j),2,a,20
2,GY_GY,(0.0776377885037965+0.041923856480463303j),2,a,20
3,GY_GY,(1.2192456809650705-0.08109608068678734j),2,a,20
0,GZ_GZ,(0.5058193914634433-0.14446165394318963j),2,a,20
1,GZ_GZ,(1.156192569101625-0.05804926723005324j),2,a,20
2,GZ_GZ,(0.17982006398554484-0.05891481518238794j),2,a,20
3,GZ_GZ,(1.0760533559388321+0.20506659036102667j),2,a,20
0,GX_GX,(0.20004803079270114+0.09759672999947216j),3,a,20
1,GX_GX,(1.2170095247799062-0.16141580220598728j),3,a,20
2,GX_GX,(0.11024441297968426+0.027555420133263002j),3,a,20
3,GX_GX,(1.3904349743419981+0.19003074331925726j),3,a,20
0,GY_GY,(0.5441527220666466-0.11009634862451698j),3,a,20
1,GY_GY,(1.3853051267293819+0.026148836728006657j),3,a,20
2,GY_GY,(0.18833938187797988-0.05577361689748967j),3,a,20
3,GY_GY,(1.5731487279433254-0.02662067201739729j),3,a,20
0,GZ_GZ,(0.49004008070587424-0.024673311295903538j),3,a,20
1,GZ_GZ,(1.290580516398408-0.24666248103859295j),3,a,20
2,GZ_GZ,(0.2007885540490088+0.08836253649164853j),3,a,20
3,GZ_GZ,(1.463995386091789+0.21174751283587945j),3,a,20
