t,gamma,corr,tsource,series,cfg
0,GX_G1,(-4.5144966026257265-0.12796550815625762j),0,a,20
1,GX_G1,(-4.484567478310809+0.07702968932207863j),0,a,20
2,GX_G1,(-0.023063326336492742-0.027946993164611605j),0,a,20
3,GX_G1,(-4.546191455747156+0.09195385795673404j),0,a,20
0,GY_G1,(-3.9019905426501547-0.007147472300182384j),0,a,20
1,GY_G1,(-4.259540541968777+0.00803314116529913j),0,a,20
2,GY_G1,(-0.12798840255977487+0.0383980441019428j),0,a,20
3,GY_G1,(-4.239263586246899+0.11488364754488828j),0,a,20
0,GZ_G1,(-4.519959806823899+0.017415189933345704j),0,a,20
1,GZ_G1,(-4.129261303311042+0.1411622272318738j),0,a,20
2,GZ_G1,(-0.14631648456395727+0.0019154388346617527j),0,a,20
3,GZ_G1,(-4.28603771592668+0.11476082426091945j),0,a,20
0,GX_G1,(-3.710822464078319-0.1463492574311519j),1,a,20
1,GX_G1,(-4.996575020276532+0.12563773290639182j),1,a,20
2,GX_G1,(-0.05505645217011629-0.005569264033695983j),1,a,20
3,GX_G1,(-4.992709660865948+0.07237645960125164j),1,a,20
0,GY_G1,(-4.969384498605126-0.2040207788207651j),1,a,20
1,GY_G1,(-5.4412831991376285-0.058683106015313416j),1,a,20
2,GY_G1,(-0.15646070930453676-0.027772402975131023j),1,a,20
3,GY_G1,(-5.350081300464092+0.09725253357803099j),1,a,20
0,GZ_G1,(-4.883744714086838-0.130366133032488j),1,a,20
1,GZ_G1,(-5.257892303898304-0.25206011199389416j),1,a,20
2,GZ_G1,(-0.14008412675319998+0.027755890322430858j),1,a,20
3,GZ_G1,(-5.2486596980507745-0.19546334747113323j),1,a,20
0,GX_G1,(-3.9265600316976155-0.04476255683634596j),2,a,20
1,GX_G1,(-4.945103862922958-0.14068685108707638j),2,a,20
2,GX_G1,(-0.0036211012938094345+0.05542310280306345j),2,a,20
3,GX_G1,(-4.544324441825586+0.10978026044432855j),2,a,20
0,GY_G1,(-4.6456681718006+0.11132731600530126j),2,a,20
1,GY_G1,(-4.742410315508094-0.012098914552284613j),2,a,20
2,GY_G1,(-0.16460158630415003-0.03311144245940874j),2,a,20
3,GY_G1,(-4.570389321567728+0.12088480975509097j),2,a,20
0,GZ_G1,(-4.115863987254365+0.15115786884825683j),2,a,20
1,GZ_G1,(-4.692205108155932-0.26131407677182167j),2,a,20
2,GZ_G1,(-0.15045488005854107+0.009205315738250983j),2,a,20
3,GZ_G1,(-4.539311695940864-0.37842767077896533j),2,a,20
0,GX_G1,(-4.520099697272893-0.13406096086773256j),3,a,20
1,GX_G1,(-5.101460766247573-0.04758567200214931j),3,a,20
2,GX_G1,(-0.06336576594837831+0.014582236439945067j),3,a,20
3,GX_G1,(-5.440926419514751-0.10466317004800839j),3,a,20
0,GY_G1,(-5.004056867300945+0.1301670370959111j),3,a,20
1,GY_G1,(-4.884435441757216+0.03668874969969936j),3,a,20
2,GY_G1,(-0.1796565992620296+0.01442289526989197j),3,a,20
3,GY_G1,(-5.197661681113844+0.09491597060393575j),3,a,20
0,GZ_G1,(-4.538064143770571+0.1665358726610007j),3,a,20
1,GZ_G1,(-5.062965690224283-0.003154907933857448j),3,a,20
2,GZ_G1,(-0.14157179594265507-0.012443222503043545j),3,a,20
3,GZ_G1,(-5.500843107606135+0.17672913259658782j),3,a,20
