t,gamma,corr,tsource
0,GX_GX,(4.59256735644673-0.3321121474192046j),0
1,GX_GX,(6.441879588334565-0.02285759385324098j),0
2,GX_GX,(0.04688542963735434+0.03196206131539963j),0
3,GX_GX,(6.584146389156459-0.06919796938920689j),0
0,GY_GY,(3.5698090969333016+0.5079311626803376j),0
1,GY_GY,(6.433949300072234-0.17714571865103534j),0
2,GY_GY,(0.20837172413088922+0.007572277867218516j),0
3,GY_GY,(6.497575271384575-0.16299985443778478j),0
0,GZ_GZ,(4.535475498853225-0.1814273623278846j),0
1,GZ_GZ,(6.348679839125454-0.1334008734238652j),0
2,GZ_GZ,(0.22659234571777237-0.019861345669574558j),0
3,GZ_GZ,(6.474482038394722-0.1656449409206851j),0
0,GX_GX,(3.1070393746563107-0.17608940609694745j),1
1,GX_GX,(7.476677844858354-0.05317140908268863j),1
2,GX_GX,(0.10194197635334848+0.04368887811616374j),1
3,GX_GX,(7.432606565502688-0.09048753029540013j),1
0,GY_GY,(4.90100083606916-0.07543037624295323j),1
1,GY_GY,(7.628758214723635-0.13140530168577436j),1
2,GY_GY,(0.2957644114851827+0.0051038516213690295j),1
3,GY_GY,(7.516519950609645-0.19020048751632163j),1
0,GZ_GZ,(4.761841037108647+0.18974369842439695j),1
1,GZ_GZ,(7.5483596132014394+0.010562707381032165j),1
2,GZ_GZ,(0.21505862680355664-0.05308291754917048j),1
3,GZ_GZ,(7.424872103842619-0.053611206926585074j),1
0,GX_GX,(4.01825599130508+0.5255626623369987j),2
1,GX_GX,(7.123509459597431+0.16840158890596138j),2
2,GX_GX,(0.013123288023471468-0.026956286110405688j),2
3,GX_GX,(6.6948736871384105-0.028134844461896662j),2
0,GY_GY,(4.20962494524387-0.20673513111069403j),2
1,GY_GY,(7.020719464855101+0.2147580531620618j),2
2,GY_GY,(0.294820677692632+0.031724814996988975j),2
3,GY_GY,(6.666095185733139+0.16857075632647955j),2
0,GZ_GZ,(4.313259989726741-0.424203582949554j),2
1,GZ_GZ,(6.970533158470348+0.15799658737183206j),2
2,GZ_GZ,(0.21241683403659656+0.014726364064128847j),2
3,GZ_GZ,(6.628384233626444+0.25869692006675193j),2
0,GX_GX,(3.761285089992754+0.40588811788749135j),3
1,GX_GX,(7.24102660837111-0.03436409899202121j),3
2,GX_GX,(0.09980661884249972-0.030477579116567156j),3
3,GX_GX,(7.7125620541445254+0.006460424936834828j),3
0,GY_GY,(5.193102964871639-0.28045274683872945j),3
1,GY_GY,(7.176207869304381+0.08818259381417867j),3
2,GY_GY,(0.297772329913111-0.025635409366909976j),3
3,GY_GY,(7.601110764635715+0.04220551256638599j),3
0,GZ_GZ,(4.08467624040737-0.04443035793428973j),3
1,GZ_GZ,(7.233504797853147+0.09093962925515622j),3
2,GZ_GZ,(0.2393727235325226+0.04658322967089265j),3
3,GZ_GZ,(7.737473254918786+0.05951468675415056j),3
