series_cfg,gamma,seedkey,t,corr
a.20,GX_G1,e_e_e_e,0,(0.39035316947415694+4.568050832034602e-10j)
a.20,GX_G1,e_e_e_e,1,(0.7986373508528519+1.3604761394325152e-11j)
a.20,GX_G1,e_e_e_e,2,(0.017006216794865983+1.2097255103675302e-09j)
a.20,GX_G1,e_e_e_e,3,(0.7986373508528521+1.3604753804909945e-11j)
a.20,GY_G1,e_e_e_e,0,(0.4966461233709455-5.366872079986046e-11j)
a.20,GY_G1,e_e_e_e,1,(0.8895482047252531-8.360909971901875e-11j)
a.20,GY_G1,e_e_e_e,2,(0.06317047464750328-1.2071887445075624e-10j)
a.20,GY_G1,e_e_e_e,3,(0.8895482047252534-8.360908214816729e-11j)
a.20,GZ_G1,e_e_e_e,0,(0.4907548636422705-3.313170953080578e-10j)
a.20,GZ_G1,e_e_e_e,1,(0.8118820340305553+8.979024095316166e-10j)
a.20,GZ_G1,e_e_e_e,2,(0.10758533220873469+9.535357496743223e-10j)
a.20,GZ_G1,e_e_e_e,3,(0.8118820340305553+8.979024502116444e-10j)
